City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,sironj,24.1,77.7,68.07,33,1,8.66,IN,1675232064
153,nanortalik,60.1432,-45.2371,14.23,81,99,8.34,GL,1675232065
154,qui nhon,13.7667,109.2333,75.69,79,43,8.05,VN,1675231799
155,bol,13.4586,14.7147,72.23,42,100,17.94,TD,1675232066
156,ngunguru,-35.6167,174.5,70.74,87,100,9.55,NZ,1675232067
157,kathmandu,27.7167,85.3167,68.22,36,20,3.44,NP,1675231741
158,tuatapere,-46.1333,167.6833,64.44,90,98,3.22,NZ,1675232014
159,kamaishi,39.2667,141.8833,43.81,61,84,18.61,JP,1675232070
160,guerrero negro,27.9769,-114.0611,55.72,62,10,9.89,MX,1675232070
161,baykalsk,51.5058,104.1469,13.51,86,94,2.35,RU,1675232071
162,pevek,69.7008,170.3133,7.7,84,45,4.29,RU,1675231792
163,bom jesus,-9.0744,-44.3586,75.11,63,52,2.01,BR,1675232010
164,maraa,-1.8333,-65.3667,72.03,98,100,1.32,BR,1675232072
165,duku,11.2361,4.9073,73.74,18,87,7.05,NG,1675232073
166,fairbanks,64.8378,-147.7164,14.09,79,100,4.61,US,1675232074
167,marienburg,54.0359,19.0266,37.04,92,100,19.8,PL,1675232018
168,tiksi,71.6872,128.8694,-0.89,100,100,7.43,RU,1675232075
169,maxixe,-23.8597,35.3472,81.1,60,66,10.51,MZ,1675232076
170,nikolskoye,59.7035,30.7861,31.91,87,99,6.11,RU,1675232077
171,clyde river,70.4692,-68.5914,-32.57,68,0,6.91,CA,1675232077
172,spas-demensk,54.4122,34.0226,28.35,84,99,5.59,RU,1675232078
173,port blair,11.6667,92.75,86.04,70,20,8.05,IN,1675232079
174,beringovskiy,63.05,179.3167,18.77,97,62,8.3,RU,1675232079
175,cairns,-16.9167,145.7667,85.95,74,100,8.05,AU,1675232080
176,tura,25.5198,90.2201,81.73,25,19,5.73,IN,1675232081
177,arrecife,28.963,-13.5477,60.78,72,0,14.97,ES,1675232081
178,khatanga,71.9667,102.5,-45.58,100,62,2.33,RU,1675232082
179,kavaratti,10.5669,72.642,79.81,75,72,13.31,IN,1675232083
180,uvalde,29.3669,-99.767,32.99,91,100,9.22,US,1675232083
181,woodward,36.4337,-99.3904,15.03,79,0,4.61,US,1675232084
182,bathsheba,13.2167,-59.5167,74.01,78,20,6.91,BB,1675232084
